arquivo,os,cliente,tecnico,tipo_operacional,cobertura,descricao_produto,contrato_ativo_inativo,ordem_compra,alerta_faturamento,alerta_codigo,alerta_laudo,alerta_contrato,alerta_total
C:\Users\paulo.aguiar\Downloads\V68096.pdf,V68096,EIFFEL COMERCIO E INDUSTRIA DE FERROS LTDA,VINICIUS BOIA DOS SANTOS,Corretiva/Chamado,Garantia,RELOGIO SMART POINT WIFI BIO ID,Inativo,( x )Nao ( )Sim DATA,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V68077.pdf,V68077,JSP BRASIL INDUSTRIA DE PLASTICOS LTDA,VINICIUS BOIA DOS SANTOS,Corretiva/Chamado,Garantia,456 HL/S BARRAS/BIOM.II/S IP (6000 TEMPL.),Inativo,Sim Alguma obs ervacao: Data Limit e para fat uramento: 2026-02-2 5 Valores e Condicoes Valor da P,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V68045.pdf,V68045,SOROCAPS INDUSTRIA FARMACEUTICA LTDA,BRUNO DE ARAUJO MARTUCCI,Corretiva/Chamado,Garantia,RELOGIO MICROPOINT V2 (LEITOR EXT.),Inativo,"( )Nao (X )Sim, Alguma",1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V67998.pdf,V67998,TECTEXTIL EMBALAGENS INDUSTRIAIS LTDA,VINICIUS BOIA DOS SANTOS,Corretiva/Chamado,Garantia,CONTROLADOR FACE ACCESS ULTRA,Inativo,"( x )Nao ( )Sim, Alguma observacao? DATA LIMITE PARA",1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V67997.pdf,V67997,TECTEXTIL EMBALAGENS INDUSTRIAIS LTDA,VINICIUS BOIA DOS SANTOS,Corretiva/Chamado,Garantia,CONTROLADOR FACE ACCESS ULTRA,Inativo,"( x )Nao ( )Sim, Alguma observacao? DATA LIMITE PARA",1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V67996.pdf,V67996,TECTEXTIL EMBALAGENS INDUSTRIAIS LTDA,VINICIUS BOIA DOS SANTOS,Corretiva/Chamado,Garantia,CONTROLADOR FACE ACCESS ULTRA,Inativo,"( x )Nao ( )Sim, Alguma observacao? DATA LIMITE PARA",1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V68029.pdf,V68029,PACK BIG BAG INDUSTRIA DE EMBALAGENS LTDA,ISRAEL OSVALDO INACIO,Corretiva/Chamado,Contrato,CATRACA BAP BLACK BIO ID 500USR PX 125KHZ,Ativo,"( )Nao ( )Sim, Alguma observacao? DATA",1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V68019.pdf,V68019,DELTEC EQUIPAMENTOS INDUSTRIAIS LIMITADA,CELSO LUIS MATOS,Corretiva/Chamado,Garantia,CATRACA BAP BLACK V2 PX 125KHZ,Inativo,"( x)Nao ( )Sim, Alguma",1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V67942.pdf,V67942,UNIMED DE SANTA BARBARA DOESTE AMERICANA COOP TRAB MED,CELSO LUIS MATOS,Instalacao,Avulso,CONTROLADOR FACE ACCESS ULTRA,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V67933.pdf,V67933,ESCOLA INTEGRADA EDUCATIVA LTDA,CELSO LUIS MATOS,Instalacao,Avulso,VISITA E ORIENTACAO INFRA ESTRUTURA,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V67990.pdf,V67990,P. W. IMOVEIS LTDA,BRUNO HENRIQUE NAIDHIG,Corretiva/Chamado,Garantia,CONTROLADOR MD 5718F,Inativo,Sim Alguma,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V67939.pdf,V67939,LEME ARMAZENS GERAIS LTDA,VINICIUS BOIA DOS SANTOS,Corretiva/Chamado,Garantia,RELOGIO D-REP V2 FACIAL 5000USR,Inativo,"( x)Nao ( )Sim, Alguma observacao? DATA LIMITE PARA FATURAMENTO: - O",1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V67927.pdf,V67927,CPIC BRASIL FIBRAS DE VIDRO LTDA,ISRAEL OSVALDO INACIO,Corretiva/Chamado,Contrato,CATRACA MDC 5906 V2 PX 125KHZ (C/ FACIAL),Ativo,Sim Data Limite para Faturamento:11022026 E-mail para Envio da,0,0,0,0,0
C:\Users\paulo.aguiar\Downloads\V67867.pdf,V67867,GULF OIL DO BRASIL LTDA,BRUNO DE ARAUJO MARTUCCI,Instalacao,Avulso,RELOGIO MD 5715P COMUNE V2 FACIAL 5000USR,Inativo,,1,0,1,0,2
C:\Users\paulo.aguiar\Downloads\V67866.pdf,V67866,GULF OIL DO BRASIL LTDA,BRUNO DE ARAUJO MARTUCCI,Instalacao,Avulso,RELOGIO MD 5715P COMUNE V2 FACIAL 5000USR,Inativo,,1,0,1,0,2
C:\Users\paulo.aguiar\Downloads\V67874.pdf,V67874,FRANGOESTE AVICULTURA LTDA,ISRAEL OSVALDO INACIO,Corretiva/Chamado,Avulso,CATRACA FANCY LINE V2 BIO ID 5000USR PX 125KHZ,Inativo,"( )Nao ( x )Sim, Alguma observacao? DATA",1,0,0,0,1
