arquivo,os,cliente,tipo_atendimento,classificacao_atendimento,contrato,classificacao,produto,sigla_atendimento,tipo_detectado,cobertura_detectada
V67996.pdf,V67996,TECTEXTIL EMBALAGENS INDUSTRIAIS LTDA,GARANTIA FABRICA - REP,001 - Corretiva,Inativo,GARANTIA DE INSTALACAO,CONTROLADOR FACE ACCESS ULTRA,GI-I - GARANTIA DE INSTALACAO,instalacao,garantia
V67304.pdf,V67304,BULKCENTRO TURISMO LTDA,CHAMADO REP,001 - Corretiva,Inativo,OSE COM FATURAMENTO,RELOGIO SMART PRINT WIFI BIO ID 500USR,FASCO - OS COM FATURAMENTO,corretiva,avulso
V67594.pdf,V67594,GALENA QUIMICA E FARMACEUTICA LTDA,GARANTIA FABRICA - REP,001 - Corretiva,Inativo,GARANTIA DE FABRICA,RELOGIO REP-C SMART PRINT WIFI BIO ID 500USR PX 125KHZ,GF-I - GARANTIA DE FABRICA,corretiva,garantia
V64989.pdf,V64989,"CONSTRUTORA TENDA S/A Endereco: Av. Wilson Moreira de Santana,",,001 - Corretiva,Inativo,OSE COM FATURAMENTO,RELOGIO SMART PRINT,FASCO,corretiva,avulso
V64091.pdf,V64091,CONDOMINIO TIME CENTER,,001 - Corretiva,Inativo,GARANTIA DE FABRICA,TORNIQUETE SMART,GF-I,corretiva,garantia
V64086.pdf,V64086,CONDOMINIO TIME CENTER,,001 - Corretiva Codigo_OS_Anterior: V63927,Inativo,GARANTIA DE FABRICA,TORNIQUETE SMART,GF-I,corretiva,garantia
V66321.pdf,V66321,CONDOMINIO TIME CENTER CAMPINAS,CHAMADO REP,001 - Corretiva,Inativo,GARANTIA DE FABRICA,"CANCELA DMP DRIVE ESQ BR.RET 3,00M A 4,50M 220V",GF-I - GARANTIA DE FABRICA,corretiva,garantia
v64582.pdf,V64582,CONDOMINIO TIME CENTER,MANUTENCAO CORRETIVA,001 - Corretiva,Inativo,GARANTIA DE FABRICA,CANCELA DMP DRIVE,GF-I,corretiva,garantia
